"id","sighted_at","reported_at","location","shape","duration","description","latitude","longitude","case_number"
"90901","2018-02-20T19:30:00Z","2018-03-20T12:28:57Z","Myrtle Beach (United States)","Triangle","00:10:00","","33.6655645761825388764584943146473960950970649719238281250","-78.9598993339085682168082769294414902105927467346191406250","US-03202018-0009"
"90902","1983-07-10T23:30:00Z","2018-03-20T14:08:56Z","Beringen (Belgium)","Oval","00:01:00","","51.04941000000000173031367012299597263336181640625","5.22858999999999962682295517879538238048553466796875","BE-03202018-0010"
"90903","1984-04-30T00:00:00Z","2018-03-20T14:40:49Z","Bowen (United States)","Cylinder","01:00:00","","40.2281969","-91.0646751","US-03202018-0011"
"90904","2016-10-21T00:00:00Z","2018-03-20T16:43:59Z","Jamestown (United States)","Triangle","00:01:00","","37.95183437443661620879176155085588106885552406311035156250","-120.40883195257080450317310749142052372917532920837402343750","US-03202018-0012"
"90905","2018-03-20T11:35:00Z","2018-03-20T17:05:00Z","Belfast (United Kingdom)","Circle","00:00:10","","54.59307600481201855554012070115277310833334922790527343750","-5.9635033314852035439344035694375634193420410156250","GB-03202018-0013"
"90906","2013-04-10T00:00:00Z","2018-03-20T17:50:56Z","London (United Kingdom)","Unknown","00:00:01","","51.58277409013411474725252503503725165501236915588378906250","-0.37742464152853221759364998888486297801136970520019531250","GB-03202018-0014"
"90907","2013-04-10T00:00:00Z","2018-03-20T17:59:58Z","London (United Kingdom)","Unknown","00:00:01","","51.542635774609755316966186455829301849007606506347656250","-0.36006461449304997812781437005469342693686485290527343750","GB-03202018-0016"
"90908","2016-07-15T00:00:00Z","2018-03-20T20:08:56Z","Cuba (United States)","Star-like","00:05:00","","42.08639901386880644308341459236544324085116386413574218750","-78.33797741631308943438843390595138771459460258483886718750","US-03202018-0016"
"90909","2018-03-17T19:04:00Z","2018-03-20T20:36:13Z","Marco Island (United States)","Cylinder","00:05:00","","25.96190216264419143935135991796414600685238838195800781250","-81.69395162287462446712460462094895774498581886291503906250","US-03202018-0017"
"90910","2018-03-20T06:35:00Z","2018-03-20T20:47:12Z","None (United States)","N,    A","00:01:00","","40.0640437999999932117134449072182178497314453125","-74.402991200000002436354407109320163726806640625","US-03202018-0018"
"90911","2018-03-17T06:00:00Z","2018-03-20T20:28:03Z","Coldwater (United States)","Star-like","00:05:00","","41.9310395002886301729638773849728750064969062805175781250","-85.04097509797026606670478088290110463276505470275878906250","US-03202018-0019"
"90912","2016-06-30T00:00:00Z","2018-03-20T21:27:05Z","Avignon (France)","Cone","00:00:20","","43.9508521","4.8076971","FR-03202018-0020"
"90913","2018-03-20T21:30:00Z","2018-03-20T22:43:31Z","Syracuse (United States)","Other","00:02:30","","43.0471998","-76.2005535","US-03202018-0021"
"90914","2018-03-20T21:40:00Z","2018-03-20T23:30:00Z","Toronto (Canada)","Star-like","00:00:30","","43.66239599999999398960426333360373973846435546875","-79.3740442999999942230715532787144184112548828125","CA-03202018-0022"
